Date,SP500,Dividend,Earnings,Consumer Price Index,Long Interest Rate,Adj Close,Real Dividend,Real Earnings,PE10
1986-08-01,245.0,8.19,14.8,109.7,7.17,557.97,18.64,33.71,13.89
1986-09-01,238.3,8.23,14.85,110.2,7.45,540.25,18.66,33.67,13.47
1986-10-01,237.4,8.25,14.73,110.3,7.43,537.72,18.68,33.36,13.43
1986-11-01,245.1,8.26,14.6,110.4,7.25,554.66,18.7,33.05,13.87
1986-12-01,248.6,8.28,14.48,110.5,7.11,562.07,18.72,32.74,14.09
1987-01-01,264.5,8.3,14.69,111.2,7.08,594.26,18.65,33.0,14.92
1987-02-01,280.9,8.32,14.89,111.6,7.25,628.84,18.63,33.34,15.82
1987-03-01,292.5,8.34,15.1,112.1,7.25,651.89,18.59,33.65,16.43
1987-04-01,289.3,8.4,14.87,112.7,8.02,641.33,18.62,32.97,16.2
1987-05-01,289.1,8.46,14.65,113.1,8.61,638.62,18.69,32.35,16.16
1987-06-01,301.4,8.52,14.42,113.5,8.4,663.44,18.75,31.74,16.83
1987-07-01,310.1,8.57,14.9,113.8,8.45,680.79,18.81,32.71,17.31
1987-08-01,329.4,8.61,15.38,114.4,8.76,719.37,18.81,33.59,18.33
1987-09-01,318.7,8.66,15.86,115.0,9.42,692.37,18.81,34.46,17.68
1987-10-01,280.2,8.71,16.41,115.3,9.52,607.15,18.87,35.55,15.53
1987-11-01,245.0,8.76,16.95,115.4,8.86,530.41,18.96,36.7,13.59
1987-12-01,241.0,8.81,17.5,115.4,8.99,521.75,19.07,37.89,13.39
1988-01-01,250.5,8.86,17.86,115.7,8.67,540.91,19.12,38.57,13.9
1988-02-01,258.1,8.9,18.23,116.0,8.21,555.88,19.18,39.26,14.3
1988-03-01,265.7,8.95,18.59,116.5,8.37,569.8,19.19,39.87,14.67
1988-04-01,262.6,9.04,19.62,117.1,8.72,560.26,19.29,41.85,14.43
1988-05-01,256.1,9.14,20.64,117.5,9.09,544.54,19.43,43.89,14.03
1988-06-01,270.7,9.23,21.67,118.0,8.92,573.14,19.54,45.88,14.77
1988-07-01,269.1,9.31,22.02,118.5,9.06,567.35,19.62,46.43,14.61
1988-08-01,263.7,9.38,22.38,119.0,9.26,553.63,19.7,46.98,14.24
1988-09-01,268.0,9.46,22.73,119.8,8.98,558.9,19.73,47.4,14.37
1988-10-01,277.4,9.55,23.07,120.2,8.8,576.58,19.85,47.96,14.81
1988-11-01,271.0,9.64,23.42,120.3,8.96,562.8,20.02,48.63,14.45
1988-12-01,276.5,9.75,23.75,120.5,9.11,573.27,20.21,49.24,14.7
1989-01-01,285.4,9.81,24.16,121.1,9.09,588.79,20.25,49.84,15.09
1989-02-01,294.0,9.9,24.56,121.6,9.17,604.04,20.33,50.46,15.47
1989-03-01,292.7,10.01,24.96,122.3,9.36,597.93,20.45,50.99,15.3
1989-04-01,302.3,10.09,25.05,123.1,9.18,613.53,20.47,50.83,15.69
1989-05-01,313.9,10.19,25.13,123.8,8.86,633.47,20.57,50.72,16.19
1989-06-01,323.7,10.37,25.22,124.1,8.28,651.67,20.88,50.77,16.64
1989-07-01,331.9,10.42,24.71,124.4,8.02,666.56,20.93,49.63,17.01
1989-08-01,346.6,10.55,24.2,124.6,8.11,694.97,21.15,48.52,17.73
1989-09-01,347.3,10.73,23.69,125.0,8.19,694.14,21.45,47.35,17.71
1989-10-01,347.4,10.8,23.43,125.6,8.01,691.03,21.48,46.6,17.64
1989-11-01,340.2,10.92,23.16,125.9,7.87,675.09,21.68,45.97,17.24
1989-12-01,348.6,11.06,22.87,126.1,7.84,690.66,21.91,45.31,17.65
1990-01-01,339.97,11.14,22.49,127.4,8.21,666.69,21.85,44.1,17.05
1990-02-01,330.45,11.23,22.08,128.0,8.47,644.99,21.92,43.1,16.51
1990-03-01,338.46,11.32,21.67,128.7,8.59,657.03,21.97,42.07,16.83
1990-04-01,338.18,11.44,21.53,128.9,8.79,655.46,22.17,41.74,16.81
1990-05-01,350.25,11.55,21.4,129.2,8.76,677.28,22.34,41.38,17.39
1990-06-01,360.39,11.66,21.26,129.9,8.48,693.13,22.43,40.89,17.82
1990-07-01,360.03,11.73,21.42,130.4,8.47,689.79,22.47,41.04,17.75
1990-08-01,330.75,11.78,21.58,131.6,8.75,627.91,22.37,40.97,16.17
1990-09-01,315.41,11.83,21.74,132.7,8.89,593.83,22.27,40.93,15.3
1990-10-01,307.12,11.93,21.61,133.5,8.72,574.75,22.32,40.44,14.82
1990-11-01,315.29,12.01,21.47,133.8,8.39,588.72,22.43,40.1,15.19
1990-12-01,328.75,12.09,21.34,133.8,8.08,613.85,22.57,39.85,15.85
1991-01-01,325.49,12.11,21.18,134.6,8.09,604.15,22.47,39.32,15.61
1991-02-01,362.26,12.11,21.03,134.8,7.85,671.41,22.45,38.97,17.35
1991-03-01,372.28,12.11,20.94,135.0,8.11,688.95,22.41,38.75,17.82
1991-04-01,379.68,12.13,20.36,135.2,8.04,701.61,22.41,37.63,18.16
1991-05-01,377.99,12.14,19.86,135.6,8.07,696.43,22.37,36.58,18.04
1991-06-01,378.29,12.15,19.41,136.0,8.28,694.93,22.32,35.66,18.02
1991-07-01,380.23,12.19,18.84,136.2,8.27,697.47,22.37,34.56,18.1
1991-08-01,389.4,12.24,18.33,136.6,7.9,712.2,22.38,33.52,18.51
1991-09-01,387.2,12.28,17.82,137.2,7.65,705.08,22.36,32.45,18.36
1991-10-01,386.88,12.25,17.2,137.4,7.53,703.47,22.28,31.28,18.35
1991-11-01,385.92,12.23,16.59,137.8,7.42,699.68,22.17,30.07,18.29
1991-12-01,388.51,12.2,15.97,137.9,7.09,703.87,22.1,28.93,18.44
1992-01-01,416.08,12.24,16.05,138.1,7.03,752.73,22.14,29.03,19.77
1992-02-01,412.56,12.28,16.12,138.6,7.34,743.67,22.14,29.06,19.58
1992-03-01,407.36,12.32,16.19,139.3,7.54,730.6,22.1,29.04,19.28
1992-04-01,407.41,12.32,16.48,139.5,7.48,729.65,22.06,29.52,19.3
1992-05-01,414.81,12.32,16.77,139.7,7.39,741.83,22.03,29.99,19.66
1992-06-01,408.27,12.32,17.05,140.2,7.26,727.53,21.95,30.38,19.32
1992-07-01,415.05,12.34,17.38,140.5,6.84,738.04,21.95,30.9,19.62
1992-08-01,417.93,12.37,17.71,140.9,6.59,741.05,21.93,31.4,19.72
1992-09-01,418.48,12.4,18.04,141.3,6.42,739.92,21.92,31.9,19.71
1992-10-01,412.5,12.39,18.39,141.8,6.59,726.78,21.82,32.4,19.37
1992-11-01,422.84,12.38,18.74,142.0,6.87,743.95,21.79,32.97,19.83
1992-12-01,435.64,12.39,19.09,141.9,6.77,767.01,21.81,33.61,20.45
1993-01-01,435.23,12.41,19.34,142.6,6.6,762.52,21.75,33.88,20.32
1993-02-01,441.7,12.45,19.59,143.1,6.26,771.16,21.73,34.2,20.55
1993-03-01,450.16,12.48,19.84,143.6,5.98,783.19,21.71,34.52,20.86
1993-04-01,443.08,12.49,19.67,144.0,5.97,768.73,21.68,34.13,20.46
1993-05-01,445.25,12.51,19.5,144.2,6.04,771.42,21.67,33.78,20.52
1993-06-01,448.06,12.52,19.33,144.4,5.96,775.22,21.66,33.44,20.61
1993-07-01,447.29,12.52,19.69,144.4,5.81,773.88,21.66,34.07,20.56
1993-08-01,454.13,12.52,20.05,144.8,5.68,783.55,21.6,34.59,20.81
1993-09-01,459.24,12.52,20.41,145.1,5.36,790.73,21.56,35.14,20.99
1993-10-01,463.9,12.54,20.9,145.7,5.33,795.46,21.5,35.84,21.11
1993-11-01,462.89,12.56,21.39,145.8,5.72,793.18,21.52,36.65,21.04
1993-12-01,465.95,12.58,21.89,145.8,5.77,798.43,21.56,37.51,21.16
1994-01-01,472.99,12.62,22.16,146.2,5.75,808.27,21.57,37.86,21.41
1994-02-01,471.58,12.67,22.43,146.7,5.97,803.12,21.57,38.2,21.26
1994-03-01,463.81,12.71,22.71,147.2,6.48,787.2,21.57,38.54,20.83
1994-04-01,447.23,12.75,23.54,147.4,6.97,758.03,21.62,39.9,20.06
1994-05-01,450.9,12.8,24.37,147.5,7.18,763.73,21.68,41.28,20.2
1994-06-01,454.83,12.84,25.2,148.0,7.1,767.79,21.67,42.54,20.29
1994-07-01,451.4,12.87,25.91,148.4,7.3,759.94,21.67,43.62,20.07
1994-08-01,464.24,12.9,26.62,149.0,7.24,778.41,21.63,44.64,20.54
1994-09-01,466.96,12.92,27.33,149.4,7.46,780.88,21.61,45.7,20.58
1994-10-01,463.81,13.01,28.42,149.5,7.74,775.09,21.75,47.49,20.4
1994-11-01,461.01,13.1,29.51,149.7,7.96,769.38,21.86,49.25,20.21
1994-12-01,455.19,13.17,30.6,149.7,7.81,759.67,21.98,51.07,19.91
1995-01-01,465.25,13.18,31.25,150.3,7.78,773.36,21.91,51.95,20.22
1995-02-01,481.92,13.18,31.9,150.9,7.47,797.88,21.82,52.81,20.8
1995-03-01,493.15,13.17,32.55,151.4,7.2,813.78,21.73,53.71,21.15
1995-04-01,507.91,13.24,33.18,151.9,7.06,835.38,21.78,54.57,21.64
1995-05-01,523.81,13.31,33.8,152.2,6.63,859.83,21.84,55.49,22.2
1995-06-01,539.35,13.36,34.43,152.5,6.17,883.6,21.89,56.41,22.72
1995-07-01,557.37,13.44,34.68,152.5,6.28,913.12,22.02,56.82,23.38
1995-08-01,559.11,13.51,34.93,152.9,6.49,913.57,22.08,57.07,23.28
1995-09-01,578.77,13.58,35.18,153.2,6.2,943.85,22.15,57.37,23.95
1995-10-01,582.92,13.65,34.77,153.7,6.04,947.52,22.19,56.52,23.93
1995-11-01,595.53,13.72,34.37,153.6,5.93,968.65,22.32,55.9,24.35
1995-12-01,614.57,13.79,33.96,153.5,5.71,1000.27,22.44,55.27,25.03
1996-01-01,614.42,13.89,33.99,154.4,5.65,994.2,22.48,54.99,24.76
1996-02-01,649.54,14.0,34.01,154.9,5.81,1047.63,22.58,54.86,25.98
1996-03-01,647.07,14.1,34.04,155.7,6.27,1038.29,22.62,54.62,25.63
1996-04-01,647.17,14.16,34.33,156.3,6.51,1034.46,22.63,54.87,25.42
1996-05-01,661.23,14.21,34.62,156.6,6.74,1054.91,22.68,55.23,25.81
1996-06-01,668.5,14.27,34.91,156.7,6.91,1065.83,22.75,55.66,25.97
1996-07-01,644.07,14.4,35.27,157.0,6.87,1024.91,22.91,56.13,24.86
1996-08-01,662.68,14.53,35.64,157.3,6.64,1052.52,23.08,56.6,25.41
1996-09-01,674.88,14.66,36.0,157.8,6.83,1068.5,23.21,57.0,25.68
1996-10-01,701.46,14.74,36.91,158.3,6.53,1107.07,23.26,58.25,26.48
1996-11-01,735.67,14.82,37.82,158.6,6.2,1158.87,23.35,59.58,27.59
1996-12-01,743.25,14.9,38.73,158.6,6.3,1170.81,23.47,61.01,27.72
1997-01-01,766.22,14.95,39.23,159.1,6.58,1203.2,23.48,61.61,28.33
1997-02-01,798.39,15.01,39.74,159.6,6.42,1249.79,23.49,62.2,29.27
1997-03-01,792.16,15.06,40.24,160.0,6.69,1236.94,23.52,62.83,28.8
1997-04-01,763.93,15.09,40.34,160.2,6.89,1191.37,23.54,62.92,27.59
1997-05-01,833.09,15.13,40.45,160.1,6.71,1300.03,23.61,63.12,29.93
1997-06-01,876.29,15.16,40.55,160.3,6.49,1365.74,23.63,63.2,31.26
1997-07-01,925.29,15.22,40.58,160.5,6.22,1440.31,23.69,63.17,32.77
1997-08-01,927.24,15.27,40.61,160.8,6.3,1440.66,23.73,63.1,32.59
1997-09-01,937.02,15.33,40.64,161.2,6.21,1452.24,23.76,62.99,32.67
1997-10-01,951.16,15.39,40.33,161.6,6.03,1470.5,23.79,62.36,32.9
1997-11-01,938.92,15.44,40.03,161.5,5.88,1452.48,23.89,61.92,32.34
1997-12-01,962.37,15.5,39.72,161.3,5.81,1490.6,24.01,61.52,33.03
1998-01-01,963.36,15.55,39.66,161.6,5.54,1489.37,24.04,61.31,32.86
1998-02-01,1023.74,15.6,39.6,161.9,5.57,1579.78,24.07,61.11,34.71
1998-03-01,1076.83,15.64,39.54,162.2,5.65,1658.63,24.09,60.9,36.3
1998-04-01,1112.2,15.75,39.35,162.5,5.64,1709.95,24.21,60.5,37.28
1998-05-01,1108.42,15.85,39.16,162.8,5.65,1701.0,24.32,60.1,36.96
1998-06-01,1108.39,15.95,38.97,163.0,5.5,1698.87,24.45,59.73,36.8
1998-07-01,1156.58,16.02,38.68,163.2,5.46,1770.56,24.52,59.21,38.26
1998-08-01,1074.62,16.08,38.38,163.4,5.34,1643.07,24.59,58.69,35.42
1998-09-01,1020.64,16.14,38.09,163.6,4.81,1558.63,24.65,58.17,33.53
1998-10-01,1032.47,16.17,37.96,164.0,4.53,1572.85,24.63,57.83,33.77
1998-11-01,1144.43,16.18,37.84,164.0,4.83,1743.41,24.65,57.64,37.37
1998-12-01,1190.05,16.2,37.71,163.9,4.65,1814.01,24.69,57.48,38.82
1999-01-01,1248.77,16.28,37.93,164.3,4.72,1898.89,24.76,57.68,40.58
1999-02-01,1246.58,16.37,38.16,164.5,5.0,1893.25,24.86,57.95,40.4
1999-03-01,1281.66,16.45,38.38,165.0,5.23,1940.63,24.91,58.11,41.36
1999-04-01,1334.76,16.45,39.26,166.2,5.18,2006.44,24.73,59.02,42.7
1999-05-01,1332.07,16.45,40.14,166.2,5.54,2002.4,24.73,60.34,42.56
1999-06-01,1322.55,16.45,41.02,166.2,5.9,1988.09,24.73,61.66,42.18
1999-07-01,1380.99,16.51,42.0,166.7,5.79,2069.71,24.75,62.95,43.83
1999-08-01,1327.49,16.58,42.98,167.1,5.94,1984.76,24.78,64.26,41.93
1999-09-01,1318.17,16.64,43.96,167.9,5.92,1961.44,24.76,65.41,41.32
1999-10-01,1300.01,16.66,45.36,168.2,6.11,1930.97,24.74,67.38,40.55
1999-11-01,1391.0,16.67,46.77,168.3,6.03,2064.89,24.75,69.42,43.21
1999-12-01,1428.68,16.69,48.17,168.3,6.28,2120.83,24.78,71.51,44.2
2000-01-01,1425.59,16.71,49.1,168.8,6.66,2109.97,24.74,72.67,43.77
2000-02-01,1388.87,16.74,50.02,169.8,6.52,2043.52,24.63,73.6,42.19
2000-03-01,1442.21,16.76,50.95,171.2,6.26,2104.65,24.46,74.35,43.22
2000-04-01,1461.36,16.74,51.27,171.3,5.99,2131.35,24.41,74.78,43.53
2000-05-01,1418.48,16.72,51.6,171.5,6.44,2066.39,24.36,75.16,41.97
2000-06-01,1461.96,16.7,51.92,172.4,6.1,2118.62,24.2,75.24,42.78
2000-07-01,1473.0,16.58,52.51,172.8,6.05,2129.67,23.98,75.92,42.76
2000-08-01,1485.46,16.47,53.11,172.8,5.83,2147.69,23.81,76.78,42.87
2000-09-01,1468.05,16.35,53.7,173.7,5.8,2111.52,23.52,77.24,41.9
2000-10-01,1390.14,16.32,52.47,174.0,5.74,1996.01,23.44,75.33,39.37
2000-11-01,1378.04,16.3,51.23,174.1,5.72,1977.5,23.39,73.52,38.78
2000-12-01,1330.93,16.27,50.0,174.0,5.24,1911.0,23.36,71.79,37.27
2001-01-01,1335.63,16.17,48.48,175.1,5.16,1905.7,23.07,69.17,36.98
2001-02-01,1305.75,16.07,46.96,175.8,5.1,1855.65,22.84,66.74,35.83
2001-03-01,1185.85,15.97,45.44,176.2,4.89,1681.43,22.64,64.43,32.33
2001-04-01,1189.84,15.88,42.56,176.9,5.14,1680.41,22.42,60.1,32.17
2001-05-01,1270.37,15.78,39.67,177.7,5.39,1786.06,22.19,55.78,34.07
2001-06-01,1238.71,15.69,36.79,178.0,5.28,1738.62,22.02,51.64,33.07
2001-07-01,1204.45,15.71,33.96,177.5,5.24,1695.29,22.11,47.8,32.16
2001-08-01,1178.5,15.72,31.14,177.5,4.97,1658.77,22.13,43.83,31.4
2001-09-01,1044.64,15.74,28.31,178.3,4.73,1463.76,22.06,39.67,27.67
2001-10-01,1076.59,15.74,27.1,177.7,4.57,1513.62,22.13,38.11,28.58
2001-11-01,1129.68,15.74,25.9,177.4,4.65,1590.95,22.17,36.47,30.01
2001-12-01,1144.93,15.74,24.69,176.7,5.09,1618.81,22.25,34.91,30.5
2002-01-01,1140.21,15.74,24.69,177.1,5.04,1608.5,22.2,34.83,30.28
2002-02-01,1100.67,15.73,24.7,177.8,4.91,1546.61,22.11,34.7,29.09
2002-03-01,1153.79,15.73,24.7,178.8,5.28,1612.18,21.98,34.51,30.29
2002-04-01,1111.93,15.83,25.38,179.8,5.21,1545.05,22.0,35.27,29.01
2002-05-01,1079.25,15.94,26.06,179.8,5.16,1499.64,22.14,36.21,28.13
2002-06-01,1014.02,16.04,26.74,179.9,4.93,1408.22,22.28,37.14,26.39
2002-07-01,903.59,15.96,27.84,180.1,4.65,1253.46,22.14,38.62,23.46
2002-08-01,912.55,15.88,28.94,180.7,4.26,1261.69,21.96,40.01,23.59
2002-09-01,867.81,15.8,30.04,181.0,3.87,1197.84,21.81,41.46,22.37
2002-10-01,854.63,15.89,29.22,181.3,3.94,1177.7,21.9,40.27,21.96
2002-11-01,909.93,15.98,28.41,181.3,4.05,1253.9,22.02,39.15,23.35
2002-12-01,899.18,16.07,27.59,180.9,4.03,1241.83,22.19,38.1,23.1
2003-01-01,895.84,16.12,28.5,181.7,4.05,1231.77,22.16,39.19,22.9
2003-02-01,837.03,16.17,29.41,183.1,3.9,1142.11,22.06,40.13,21.21
2003-03-01,846.63,16.22,30.32,184.2,3.81,1148.31,22.0,41.12,21.31
2003-04-01,890.03,16.2,31.73,183.8,3.96,1209.8,22.02,43.13,22.43
2003-05-01,935.96,16.19,33.14,183.5,3.57,1274.31,22.04,45.12,23.59
2003-06-01,988.0,16.17,34.55,183.7,3.33,1343.7,21.99,46.99,24.83
2003-07-01,992.54,16.31,35.89,183.9,3.98,1348.41,22.16,48.76,24.87
2003-08-01,989.53,16.45,37.24,184.6,4.45,1339.22,22.26,50.4,24.64
2003-09-01,1019.44,16.59,38.58,185.2,4.27,1375.23,22.38,52.04,25.24
2003-10-01,1038.73,16.86,41.97,185.0,4.29,1402.77,22.76,56.67,25.68
2003-11-01,1049.9,17.12,45.35,184.5,4.3,1421.69,23.19,61.41,25.95
2003-12-01,1080.64,17.39,48.74,184.3,4.27,1464.91,23.57,66.07,26.64
2004-01-01,1132.52,17.6,49.83,185.2,4.15,1527.77,23.74,67.22,27.66
2004-02-01,1143.36,17.81,50.91,186.2,4.08,1534.11,23.9,68.31,27.65
2004-03-01,1123.98,18.02,52.0,187.4,3.83,1498.45,24.02,69.32,26.89
2004-04-01,1133.36,18.21,53.38,188.0,4.35,1506.14,24.2,70.94,26.9
2004-05-01,1102.78,18.41,54.77,189.1,4.72,1456.97,24.32,72.36,25.9
2004-06-01,1132.76,18.6,56.15,189.7,4.73,1491.85,24.5,73.95,26.4
2004-07-01,1105.85,18.79,56.69,189.4,4.5,1458.71,24.78,74.78,25.7
2004-08-01,1088.94,18.97,57.23,189.5,4.28,1435.65,25.01,75.45,25.17
2004-09-01,1117.66,19.16,57.77,189.9,4.13,1470.41,25.21,76.0,25.67
2004-10-01,1117.21,19.25,58.03,190.9,4.1,1462.12,25.2,75.95,25.41
2004-11-01,1168.94,19.35,58.29,191.0,4.19,1529.02,25.31,76.25,26.47
2004-12-01,1199.21,19.44,58.55,190.3,4.23,1574.38,25.52,76.87,27.14
2005-01-01,1181.41,19.7,59.11,190.7,4.22,1547.76,25.81,77.44,26.59
2005-02-01,1199.63,19.97,59.66,191.8,4.17,1562.62,26.01,77.72,26.74
2005-03-01,1194.9,20.23,60.22,193.3,4.5,1544.38,26.15,77.83,26.34
2005-04-01,1164.43,20.46,61.23,194.6,4.34,1494.94,26.27,78.61,25.41
2005-05-01,1178.28,20.7,62.25,194.4,4.14,1514.28,26.6,80.0,25.65
2005-06-01,1202.25,20.93,63.26,194.5,4.0,1544.29,26.88,81.26,26.07
2005-07-01,1222.24,21.11,64.33,195.4,4.18,1562.74,26.99,82.25,26.29
2005-08-01,1224.27,21.29,65.4,196.4,4.26,1557.36,27.08,83.19,26.1
2005-09-01,1225.92,21.47,66.47,198.8,4.2,1540.64,26.98,83.53,25.73
2005-10-01,1191.96,21.72,67.59,199.2,4.46,1494.95,27.24,84.77,24.88
2005-11-01,1237.37,21.97,68.71,197.6,4.54,1564.47,27.78,86.87,25.93
2005-12-01,1262.07,22.22,69.83,196.8,4.47,1602.18,28.21,88.65,26.44
2006-01-01,1278.73,22.41,70.78,198.3,4.42,1611.05,28.23,89.17,26.47
2006-02-01,1276.65,22.59,71.72,198.7,4.57,1605.2,28.41,90.18,26.25
2006-03-01,1293.74,22.78,72.67,199.8,4.72,1617.73,28.48,90.87,26.33
2006-04-01,1302.17,23.0,73.28,201.5,4.99,1614.53,28.52,90.85,26.15
2006-05-01,1290.01,23.22,73.88,202.5,5.11,1591.56,28.65,91.15,25.65
